38 Provinsi,
,Angka Melek Aksara Penduduk 15-59 Tahun Menurut Provinsi
,2023
ACEH,99.65
SUMATERA UTARA,99.79
SUMATERA BARAT,99.89
RIAU,99.96
JAMBI,99.86
SUMATERA SELATAN,99.69
BENGKULU,99.81
LAMPUNG,99.4
KEP. BANGKA BELITUNG,99.39
KEP. RIAU,99.77
DKI JAKARTA,99.88
JAWA BARAT,99.81
JAWA TENGAH,98.66
DI YOGYAKARTA,99.07
JAWA TIMUR,98.27
BANTEN,99.88
BALI,99.42
NUSA TENGGARA BARAT,94.32
NUSA TENGGARA TIMUR,97.88
KALIMANTAN BARAT,98.1
KALIMANTAN TENGAH,99.93
KALIMANTAN SELATAN,99.89
KALIMANTAN TIMUR,99.9
KALIMANTAN UTARA,99.14
SULAWESI UTARA,99.97
SULAWESI TENGAH,99.17
SULAWESI SELATAN,97.39
SULAWESI TENGGARA,98.62
GORONTALO,99.3
SULAWESI BARAT,97.08
MALUKU,99.76
MALUKU UTARA,99.94
PAPUA BARAT,98.67
PAPUA BARAT DAYA,-
PAPUA,84.83
PAPUA SELATAN,-
PAPUA TENGAH,-
PAPUA PEGUNUNGAN,-
INDONESIA,98.92